p,d,q,P,D,Q,s,score
0,0,0,0,0,0,52,-0.060394259410002114
0,0,0,0,0,1,52,-0.060481077118750844
0,0,0,0,0,2,52,-0.056390960461200824
0,0,0,0,1,0,52,-0.04876746257345362
0,0,0,0,1,1,52,-0.037300533451942584
0,0,0,0,1,2,52,-0.037561343740185875
0,0,0,1,0,0,52,-0.05704375951752811
0,0,0,1,0,1,52,-0.04425435913330078
0,0,0,1,0,2,52,-0.04426163365748423
0,0,0,1,1,0,52,-0.04246013714422001
0,0,0,1,1,1,52,-0.038080525971075786
0,0,0,1,1,2,52,-0.03808968383466766
0,0,1,0,0,0,52,-0.06149176038250644
0,0,1,0,0,1,52,-0.06188526235902339
0,0,1,0,0,2,52,-0.055494381102765576
0,0,1,0,1,0,52,-0.0490122909079268
0,0,1,0,1,1,52,-0.03741204092371919
0,0,1,0,1,2,52,-0.037613930543037265
0,0,1,1,0,0,52,-0.05850455442483531
0,0,1,1,0,1,52,-0.0451393443151997
0,0,1,1,0,2,52,-0.044717028364156364
0,0,1,1,1,0,52,-0.042385646999000326
0,0,1,1,1,1,52,-0.03796948736835231
0,0,1,1,1,2,52,-0.03796189953077979
0,0,2,0,0,0,52,-0.06462153823903154
0,0,2,0,0,1,52,-0.06525329475132795
0,0,2,0,0,2,52,-0.05648257517404973
0,0,2,0,1,0,52,-0.04887946065703186
0,0,2,0,1,1,52,-0.037449152853339884
0,0,2,0,1,2,52,-0.03772766348947083
0,0,2,1,0,0,52,-0.061106599453675935
0,0,2,1,0,1,52,-0.04604197996543055
0,0,2,1,0,2,52,-0.044742366113444364
0,0,2,1,1,0,52,-0.042799299621826936
0,0,2,1,1,1,52,-0.03832201496695626
0,0,2,1,1,2,52,-0.038308555223266226
0,1,0,0,0,0,52,-0.05038548623014057
0,1,0,0,0,1,52,-0.048431100760012634
0,1,0,0,0,2,52,-0.0490062555123413
0,1,0,0,1,0,52,-0.2581696678071798
0,1,0,0,1,1,52,-0.05424736513620996
0,1,0,0,1,2,52,-0.06304130593579084
0,1,0,1,0,0,52,-0.04769612716941001
0,1,0,1,0,1,52,-0.04542941072875419
0,1,0,1,0,2,52,-0.04893069799929297
0,1,0,1,1,0,52,-0.10454088029371418
0,1,0,1,1,1,52,-0.06790123489458753
0,1,0,1,1,2,52,-0.06308592811603746
0,1,1,0,0,0,52,-0.028460920556169417
0,1,1,0,0,1,52,-0.02884830720796421
0,1,1,0,0,2,52,-0.03029229141282892
0,1,1,0,1,0,52,-0.06676451485647598
0,1,1,0,1,1,52,-0.0359276338997942
0,1,1,0,1,2,52,-0.03551118328646924
0,1,1,1,0,0,52,-0.02879211963130895
0,1,1,1,0,1,52,-0.029161940478790966
0,1,1,1,0,2,52,-0.031058355283244632
0,1,1,1,1,0,52,-0.04220953843402594
0,1,1,1,1,1,52,-0.03585688403790796
0,1,1,1,1,2,52,-0.03576437106683609
0,1,2,0,0,0,52,-0.02846323448710413
0,1,2,0,0,1,52,-0.028803901679364183
0,1,2,0,0,2,52,-0.030264313093375173
0,1,2,0,1,0,52,-0.08234282331478733
0,1,2,0,1,1,52,-0.03965471317347781
0,1,2,0,1,2,52,-0.03735751234539925
0,1,2,1,0,0,52,-0.028768392378790003
0,1,2,1,0,1,52,-0.02908290519694498
0,1,2,1,0,2,52,-0.030642642873669856
0,1,2,1,1,0,52,-0.04367007021882351
0,1,2,1,1,1,52,-0.03733104898464222
0,1,2,1,1,2,52,-0.0371914070214283
1,0,0,0,0,0,52,-0.06833556714388833
1,0,0,0,0,1,52,-0.06809092131903895
1,0,0,0,0,2,52,-0.05835831819514936
1,0,0,0,1,0,52,-0.049131745299566376
1,0,0,0,1,1,52,-0.03749693022917369
1,0,0,0,1,2,52,-0.0377094666165722
1,0,0,1,0,0,52,-0.06390650229321627
1,0,0,1,0,1,52,-0.04761077053828803
1,0,0,1,0,2,52,-0.046701416413136125
1,0,0,1,1,0,52,-0.04241846458605719
1,0,0,1,1,1,52,-0.03799207394911013
1,0,0,1,1,2,52,-0.037973101958696596
1,0,1,0,0,0,52,-0.028982489564539304
1,0,1,0,0,1,52,-0.03069811615427105
1,0,1,0,0,2,52,-0.032882108621539806
1,0,1,0,1,0,52,-0.04932048948630371
1,0,1,0,1,1,52,-0.037640567973391846
1,0,1,0,1,2,52,-0.03806727240823897
1,0,1,1,0,0,52,-0.03034802451684923
1,0,1,1,0,1,52,-0.030635241641532997
1,0,1,1,0,2,52,-0.03191442551129444
1,0,1,1,1,0,52,-0.04238488776735188
1,0,1,1,1,1,52,-0.03835791621198896
1,0,1,1,1,2,52,-0.038378752660981376
1,0,2,0,0,0,52,-0.031705534118097706
1,0,2,0,0,1,52,-0.043959435258141506
1,0,2,0,0,2,52,-0.038465449248945335
1,0,2,0,1,0,52,-0.049465177165861275
1,0,2,0,1,1,52,-0.039081984693048015
1,0,2,0,1,2,52,-0.03902061127241405
1,0,2,1,0,0,52,-0.03517579659617328
1,0,2,1,0,1,52,-0.03614949082130415
1,0,2,1,0,2,52,-0.032314275202048846
1,0,2,1,1,0,52,-0.04379656534790908
1,0,2,1,1,1,52,-0.040034614671685356
1,0,2,1,1,2,52,-0.03986249775009947
1,1,0,0,0,0,52,-0.04205176464248319
1,1,0,0,0,1,52,-0.046024127601209365
1,1,0,0,0,2,52,-0.05524236988078248
1,1,0,0,1,0,52,-0.15043806434943788
1,1,0,0,1,1,52,-0.04610403184756575
1,1,0,0,1,2,52,-0.04371550698242566
1,1,0,1,0,0,52,-0.04392233037871419
1,1,0,1,0,1,52,-0.04896083323190895
1,1,0,1,0,2,52,-0.06559356274905652
1,1,0,1,1,0,52,-0.044096367901246214
1,1,0,1,1,1,52,-0.04382702477720879
1,1,0,1,1,2,52,-0.0424938325802581
1,1,1,0,0,0,52,-0.028476940353920132
1,1,1,0,0,1,52,-0.028854927189960383
1,1,1,0,0,2,52,-0.030282525577196646
1,1,1,0,1,0,52,-0.07960046416179141
1,1,1,0,1,1,52,-0.03955133100236278
1,1,1,0,1,2,52,-0.03749718887062955
1,1,1,1,0,0,52,-0.0287757003975614
1,1,1,1,0,1,52,-0.029118926779120924
1,1,1,1,0,2,52,-0.030965031851912198
1,1,1,1,1,0,52,-0.04374212474824385
1,1,1,1,1,1,52,-0.037449342841785825
1,1,1,1,1,2,52,-0.0373262905085023
1,1,2,0,0,0,52,-0.028600680931190604
1,1,2,0,0,1,52,-0.029031665489854905
1,1,2,0,0,2,52,-0.030254114743721344
1,1,2,0,1,0,52,-0.07984690211662518
1,1,2,0,1,1,52,-0.03957274650431502
1,1,2,0,1,2,52,-0.03744811792893191
1,1,2,1,0,0,52,-0.02888099161346437
1,1,2,1,0,1,52,-0.02918842146085789
1,1,2,1,0,2,52,-0.031013218885853674
1,1,2,1,1,0,52,-0.04376945226744611
1,1,2,1,1,1,52,-0.03733396949462377
1,1,2,1,1,2,52,-0.03724598152385201
2,0,0,0,0,0,52,-0.13195234124029123
2,0,0,0,0,1,52,-0.1223491465928986
2,0,0,0,0,2,52,-0.09125661861689154
2,0,0,0,1,0,52,-0.048904682874678806
2,0,0,0,1,1,52,-0.03748846106790748
2,0,0,0,1,2,52,-0.0377778468372652
2,0,0,1,0,0,52,-0.1165568197115534
2,0,0,1,0,1,52,-0.06425444454606778
2,0,0,1,0,2,52,-0.05829140763318776
2,0,0,1,1,0,52,-0.042753620031679616
2,0,0,1,1,1,52,-0.038266316365508
2,0,0,1,1,2,52,-0.03822562081657239
2,0,1,0,0,0,52,-0.030909807700144853
2,0,1,0,0,1,52,-0.04319532869290179
2,0,1,0,0,2,52,-0.03490476536811594
2,0,1,0,1,0,52,-0.04982166673847252
2,0,1,0,1,1,52,-0.038721644023591954
2,0,1,0,1,2,52,-0.03922075946053683
2,0,1,1,0,0,52,-0.04820171249386535
2,0,1,1,0,1,52,-0.040714574738848444
2,0,1,1,0,2,52,-0.033501172641934494
2,0,1,1,1,0,52,-0.04381220734536621
2,0,1,1,1,1,52,-0.039803655548287874
2,0,1,1,1,2,52,-0.03981101679348815
2,0,2,0,0,0,52,-0.029683925489063356
2,0,2,0,0,1,52,-0.030140993305462906
2,0,2,0,0,2,52,-0.030909989575868407
2,0,2,0,1,0,52,-0.049847834623647704
2,0,2,0,1,1,52,-0.03885660135910405
2,0,2,0,1,2,52,-0.039386589846424395
2,0,2,1,0,0,52,-0.030532212900269085
2,0,2,1,0,1,52,-0.029176357423655087
2,0,2,1,0,2,52,-0.031058139068121358
2,0,2,1,1,0,52,-0.043759754740019245
2,0,2,1,1,1,52,-0.03942057173715769
